epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,align_loss,epoch_warmup
1,0.14285947524365925,0.14285947524365925,0.0,67.37533822960958,0.0,0.3418914093498275,,True
2,0.12049245621476855,0.12049245621476855,0.0,68.96018554310011,0.0,0.364201711372982,,True
3,0.09368476555460975,0.09368476555460975,0.0,76.45921917278702,0.0,0.23344449010831272,,True
4,0.06737737517271723,0.06737737517271723,0.0,81.60030923850019,0.0,0.36312319181226677,,True
5,0.06718363116184871,0.06718363116184871,0.0,84.30614611519134,0.0,0.06285419539532885,,True
6,0.0709190122073605,0.0709190122073605,0.0,85.04058755315037,0.0,0.343230817262679,,True
7,0.055728403851389885,0.055728403851389885,0.0,85.15655199072285,0.0,0.38573005770754815,,True
8,0.030801539442368915,0.030801539442368915,0.0,91.03208349439505,0.0,0.22800214603792032,,True
9,0.039525635895274934,0.039525635895274934,0.0,92.34634712021646,0.0,0.3442878858663261,,True
10,0.05180717641044231,0.05180717641044231,0.0,85.0019327406262,0.0,0.17338173756528488,,True
11,0.043880424329212735,0.043880424329212735,0.0,87.43718592964824,0.0,0.38546733463310917,,True
12,0.03902709883238588,0.03902709883238588,0.0,89.52454580595284,0.0,0.34521011504606064,,True
13,0.018576609015109994,0.018576609015109994,0.0,93.39002705836877,0.0,0.33933350558315717,,True
14,0.010863998516773185,0.010863998516773185,0.0,96.2118283726324,0.0,0.23613234978069228,,True
15,0.009951626416295767,0.009951626416295767,0.0,95.90258987243912,0.0,0.32640185215084144,,True
16,0.010730287171013299,0.010730287171013299,0.0,96.28913799768071,0.0,0.3558562055008598,,True
17,0.008064303070395476,0.008064303070395476,0.0,97.25550831078469,0.0,0.3757072830186476,,True
18,0.005842194903553242,0.005842194903553242,0.0,98.33784306146116,0.0,0.3534583246907225,,True
19,0.0039114126806712845,0.0039114126806712845,0.0,98.60842674913026,0.0,0.379209523949063,,True
20,0.002111065019908849,0.002111065019908849,0.0,99.03362968689602,0.0,0.3222128957336878,,True
21,0.16668231215547114,0.12612546980381012,0.00794444014044369,80.23897058823529,81.41119221411192,0.22576350769907974,0.07952480051009093,False
22,0.09256122677641757,0.06667058542370796,0.004272197975831873,82.26102941176471,65.98540145985402,0.4197527320046967,0.05092684278155074,False
23,0.06447004022843697,0.049909870195038175,0.00149613618850708,88.28125,76.88564476885645,0.5990567485228532,0.028821112149778533,False
24,0.053543938652557486,0.038584422648829574,0.0017045420758864459,89.24632352941177,75.669099756691,0.555396342266846,0.029578123789499786,False
25,0.039413195541676355,0.026171763756257647,0.001509550739737118,93.10661764705883,77.66423357664233,0.5922958650544857,0.026180953773505548,False
26,0.03794267905109069,0.020935478894149557,0.0026159181314356185,92.87683823529412,78.88077858880779,0.5266155818156707,0.03349121506599819,False
27,0.026294578524196848,0.01602331499623902,0.0010554019142599666,94.89889705882354,78.34549878345499,0.5900292692435911,0.020331446574453044,False
28,0.024310241946402716,0.0160837156478973,0.0007306758095236385,95.17463235294117,81.16788321167883,0.6177840058128327,0.0163069174022359,False
29,0.026999058859313235,0.017587958451579597,0.001001589438494514,94.94485294117646,79.31873479318735,0.5769674360395517,0.01862188264289323,False
30,0.019202092717237332,0.011250210268532528,0.0008066051146563361,96.09375,78.68613138686132,0.5875893549772725,0.015742443885435078,False
31,0.023218572632793116,0.014225147664546967,0.0013741324929630056,95.90992647058823,81.31386861313868,0.578193935009561,0.017712023163981298,False
32,0.02099087050951579,0.009813195998396943,0.0017425347776973948,96.13970588235294,80.48661800486617,0.6340607445736955,0.02200684230774641,False
33,0.01928957798244322,0.008293567608822794,0.0015272112453685088,96.73713235294117,85.49878345498783,0.6288843519912055,0.02168657789554666,False
34,0.01320719568277983,0.004961439161835348,0.0009913199088152718,98.29963235294117,79.4647201946472,0.6324803491588872,0.01629324898342876,False
35,0.014880879316478968,0.005452429937363109,0.0013359644833733054,97.70220588235294,83.69829683698296,0.6061948996097689,0.01858970569446683,False
36,0.014290927608004388,0.00550603456384338,0.001199021058924058,97.61029411764706,81.50851581508516,0.6016617814611495,0.017329981687533504,False
37,0.009111648836337468,0.003389054621734163,0.0006740373723647173,98.62132352941177,80.87591240875912,0.6333893866234952,0.01131038080133936,False
38,0.012527208583539022,0.00726248199969311,0.0006174445152282715,96.92095588235294,80.43795620437956,0.5573990455125085,0.0104059639167698,False
39,0.018189039410037154,0.011733836336883114,0.0009071616565479952,97.84007352941177,82.23844282238443,0.655832284604663,0.01272897416835322,False
40,0.01739991784972303,0.011017174049116233,0.0007332633523380055,97.24264705882354,82.18978102189782,0.5777176208405933,0.01261883439934429,False
41,0.010085689424372771,0.004647525075330015,0.0009774250142714556,98.1158088235294,77.71289537712896,0.5843981119222498,0.010680843637708356,False
42,0.009939064819584875,0.0033763918190208428,0.0012377220041611616,98.8970588235294,79.95133819951339,0.5718842567158763,0.012877801542772967,False
43,0.009681425947586404,0.004092465442440966,0.000868534340577967,98.7591911764706,79.90267639902676,0.6250948088046099,0.011004214366788374,False
44,0.011717926519101156,0.006395941586507594,0.0007220822222092573,97.56433823529412,80.7785888077859,0.5997322944486867,0.010499553398831803,False
45,0.012483826756258221,0.004771588185309049,0.0010435966884388642,97.93198529411765,78.97810218978103,0.6335905108737386,0.015215758097303264,False
46,0.015086985357544002,0.007521668233333484,0.0012077899540171905,97.01286764705883,82.53041362530413,0.5937624221531161,0.014889076434294967,False
47,0.01480756831519744,0.006920205946217346,0.0014087978531332577,98.8970588235294,80.5352798053528,0.587999171486683,0.015492965330314986,False
