epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,entropy_loss,lambda_grl,align_loss,epoch_warmup
1,0.20723994011464325,0.20723994011464325,0.0,47.81861903126074,0.0,,,,True
2,0.19436500642610632,0.19436500642610632,0.0,74.47612504294057,0.0,,,,True
3,0.1763214209805364,0.1763214209805364,0.0,72.62109240810717,0.0,,,,True
4,0.1569397183864013,0.1569397183864013,0.0,73.4111989007214,0.0,,,,True
5,0.14318232465049494,0.14318232465049494,0.0,72.20886293369976,0.0,,,,True
6,0.1353230120047279,0.1353230120047279,0.0,71.65922363448986,0.0,,,,True
7,0.13053138003401135,0.13053138003401135,0.0,69.32325661284781,0.0,,,,True
8,0.12468036426150281,0.12468036426150281,0.0,69.25455170044658,0.0,,,,True
9,0.8809449390361184,0.13775864792497536,0.6921915819770411,69.69572368421052,65.22491349480968,0.9507482334187156,0.0026771403697139423,0.06395948756682246,False
10,0.856889031435314,0.13235773342220405,0.6917930182657743,70.8470394736842,70.67474048442907,0.9385941593270553,0.002820024401541374,0.02793277270699802,False
11,0.8479359244045458,0.12581185329901545,0.6913688904360721,71.75164473684211,68.85813148788927,0.9243351409309789,0.002970477410027344,0.02453696080728581,False
12,0.843413371788828,0.12412464853964354,0.691104110918547,64.96710526315789,54.97404844290657,0.9170661380416468,0.0031288941033693605,0.019686583821710787,False
13,0.8375427001400998,0.11895394286042765,0.6911574602127075,70.18914473684211,62.45674740484429,0.9021770420827364,0.0032956890901647187,0.018775493886909987,False
14,0.833067354403044,0.11590362340211868,0.6908829055334392,69.7779605263158,59.21280276816609,0.895704984664917,0.003471297807812012,0.01673346488295417,False
15,0.8304025185735602,0.11353625161083121,0.6908693941015946,70.97039473684211,60.89965397923876,0.8864403680751198,0.0036561774858805012,0.016536141157542403,False
16,0.8300118383608366,0.11411137800467641,0.6906298555825886,69.12006578947368,60.294117647058826,0.877007173864465,0.003850808144787236,0.015460916451717677,False
