epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,entropy_loss,eta_2,sigma,eta_1,align_loss,epoch_warmup
1,0.13330371976818567,0.13330371976818567,0.0,68.84422110552764,0.0,0.08562852862914055,,,,,,True
2,0.07313593113679945,0.07313593113679945,0.0,81.32972555083109,0.0,0.3572003634871293,,,,,,True
3,0.04588615888568722,0.04588615888568722,0.0,87.4758407421724,0.0,0.35597690684914074,,,,,,True
4,0.02476115464405329,0.02476115464405329,0.0,92.07576343254735,0.0,0.35378342213039765,,,,,,True
5,0.018352403351462182,0.018352403351462182,0.0,94.5883262466177,0.0,0.32277814310058867,,,,,,True
6,0.015166287321919276,0.015166287321919276,0.0,96.83030537301894,0.0,0.37172952184428554,,,,,,True
7,0.01185239393071467,0.01185239393071467,0.0,96.6756861229223,0.0,0.2991334867323516,,,,,,True
8,0.007727719001891667,0.007727719001891667,0.0,98.02860456126788,0.0,0.2854386275725633,,,,,,True
9,4.442595532078009,0.13260175313514014,0.022323241600623496,78.02884615384616,78.54014598540147,0.45172030878331454,0.7166140157442826,0.9935263991355896,0.16796159999999993,0.1004624292254448,0.23551358718138474,False
10,2.1822422411579354,0.08879204621681801,0.016477961723621076,84.85576923076923,59.805352798053526,0.48502722726823594,0.9432456951874953,0.9870672225952148,0.10077695999999997,0.10083525627851486,0.1546925723552704,False
11,0.2632212257156005,0.05066263095404093,0.012598558572622445,90.52884615384616,65.93673965936739,0.36312303735786644,0.8560002565383911,0.9806433320045471,0.060466175999999976,0.10108313709497452,0.12778654751869348,False
12,-0.8010068926673669,0.02934757488278242,0.010710642887995793,93.41346153846153,67.44525547445255,0.4733144772553645,0.7529150275083688,0.9742587208747864,0.03627970559999998,0.10124228149652481,0.11662580852325145,False
13,-1.4054233584839564,0.017519145377893716,0.006503935043628399,96.29807692307692,77.81021897810218,0.42862183311643803,0.5589176205488352,0.967900276184082,0.02176782335999999,0.10130582749843597,0.09032077067173444,False
14,-1.5229335129261017,0.015374104302519788,0.005757849033062275,97.0673076923077,77.12895377128953,0.508820120623379,0.47146407090700587,0.9615926146507263,0.013060694015999994,0.10137452185153961,0.08220345022586675,False
15,-2.0330909536435056,0.005091534967561109,0.005549430847167969,98.3173076923077,78.9294403892944,0.5341998143776252,0.44431727757820716,0.9553315043449402,0.01,0.10135750472545624,0.07724265759954085,False
16,-2.075886853841635,0.004465616025313816,0.0043182767354525056,98.84615384615384,80.87591240875912,0.5327536550272501,0.3473070121728457,0.9491102695465088,0.01,0.10131486505270004,0.07111903520730825,False
17,-2.01995425591102,0.005896738930585762,0.0032878866562476524,99.23076923076923,81.80048661800487,0.566169570899477,0.30196676735694594,0.9429289698600769,0.01,0.10129080712795258,0.05987296849489212,False
18,-2.1287887774980985,0.0038422049524552467,0.003295283134167011,99.51923076923077,80.5352798053528,0.5516266819638779,0.28311188427301553,0.9367935061454773,0.01,0.10124637931585312,0.05658171320190797,False
19,-2.22411742577186,0.0020592995704786375,0.003046132051027738,99.47115384615384,80.63260340632604,0.5598010558672084,0.23507153254288893,0.9306998252868652,0.01,0.10116439312696457,0.05598937009389584,False
