epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,entropy_loss,eta_2,eta_1,align_loss,epoch_warmup
1,0.13330371976818567,0.13330371976818567,0.0,68.84422110552764,0.0,,,,,True
2,0.06941152223742303,0.06941152223742303,0.0,82.52802473908001,0.0,,,,,True
3,0.04366979350186424,0.04366979350186424,0.0,89.64051024352531,0.0,,,,,True
4,0.02381553930333919,0.02381553930333919,0.0,92.73289524545805,0.0,,,,,True
5,0.018376723775513654,0.018376723775513654,0.0,95.01352918438346,0.0,,,,,True
6,0.011282888127571363,0.011282888127571363,0.0,96.79165056049479,0.0,,,,,True
7,0.0044081895105558,0.0044081895105558,0.0,98.72439118670275,0.0,,,,,True
8,0.005088066635689307,0.005088066635689307,0.0,98.45380749903363,0.0,,,,,True
9,4.516065348398227,0.13248062067880081,0.20410415392655593,77.5,77.17761557177616,0.720738692008532,0.9935019612312317,0.1004730612039566,0.21374666713751278,False
10,1.6840233391867234,0.07800247120456054,0.11260204773682814,85.625,75.76642335766424,0.7936984924169687,0.9866570234298706,0.1008283868432045,0.13341003358364106,False
11,-0.17719565566915732,0.04138297153493533,0.07138288021087646,90.67307692307692,77.0316301703163,0.6741629105347854,0.9797975420951843,0.10105407983064651,0.10343948339040462,False
12,-0.45492356029840614,0.0363946642072943,0.05232788507754986,93.65384615384616,80.58394160583941,0.5851027928865873,0.9730449318885803,0.10121666640043259,0.0842405293423396,False
13,-1.4374488770961762,0.01665642480813683,0.042280231989347015,95.72115384615384,81.02189781021897,0.5252661668337308,0.9663881063461304,0.10132353752851486,0.07647969109507707,False
14,-1.5148790295307453,0.015267773933457927,0.042179594590113716,97.25961538461539,81.50851581508516,0.42269468032396756,0.9598613977432251,0.10137995332479477,0.07488598531255355,False
15,-2.05108095407486,0.004588832815828097,0.03406214530651386,98.65384615384616,81.75182481751825,0.3810733098250169,0.9533855319023132,0.10135816037654877,0.06528951193277653,False
16,-2.166497646845304,0.0024948896042377993,0.028168106079101564,99.23076923076923,82.67639902676399,0.31681059713547044,0.9469843506813049,0.1012987345457077,0.060963190805453524,False
17,-2.2010124536661,0.0019396214731526786,0.029926598072052002,99.5673076923077,82.4330900243309,0.2787428337794084,0.9406733512878418,0.10123035311698914,0.05961639336668528,False
18,-2.1468916214429417,0.0032530234501546846,0.029920401939978965,99.27884615384616,82.33576642335767,0.23752541542053224,0.934436559677124,0.10115464776754379,0.05523138556342858,False
19,-2.1616705435972947,0.003090887740899444,0.03120922858898456,99.03846153846153,81.80048661800487,0.2410801493204557,0.9282904863357544,0.10109417140483856,0.0536279127574884,False
20,-2.2427465438842775,0.0016613495043342342,0.026589774168454684,99.51923076923077,82.23844282238443,0.22837273134635044,0.9221927523612976,0.10100292414426804,0.05118737111871059,False
21,-2.2900873367603007,0.0008376714278780967,0.028245199643648588,99.71153846153847,83.35766423357664,0.20816067388424506,0.9161532521247864,0.10089335590600967,0.05060935115011839,False
22,-2.321607523698073,0.0004283276778315107,0.025904924135941726,99.8076923076923,84.8661800486618,0.17333752524394255,0.9101735353469849,0.10076888650655746,0.04682716010854794,False
23,-2.26470243036747,0.0017821032596954795,0.024932173582223747,99.66346153846153,83.30900243309003,0.17874914946464393,0.9042515158653259,0.10065127164125443,0.04307575045296779,False
24,-2.3451181228344256,0.00037957557794750474,0.021738122976743258,99.90384615384616,83.21167883211679,0.16308487435946098,0.8983649015426636,0.10051947087049484,0.04009434884557357,False
25,-2.301471036214095,0.001384200599958409,0.02302801884137667,99.5673076923077,83.89294403892944,0.1425891042328798,0.8925496339797974,0.10039085894823074,0.04230390001948063,False
26,-2.2441339446948123,0.002779337994289987,0.02030493296109713,99.75961538461539,84.13625304136254,0.1394989748413746,0.886783242225647,0.10027259588241577,0.03663887307047844,False
27,-2.345305116360004,0.0008654531243890391,0.020825916987199048,99.75961538461539,83.69829683698296,0.13090112088964537,0.8810663223266602,0.10012464970350266,0.03907877825773679,False
