epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,ot_topk_loss,entropy_loss,ot_loss,align_loss,ot_match_loss,eta_2,eta_1,epoch_warmup
1,0.14374331136544546,0.14374331136544546,0.0,64.59219172787012,0.0,0.31169584360177904,,,,,,,,True
2,0.07820535947879155,0.07820535947879155,0.0,81.98685736374179,0.0,0.35225335079990083,,,,,,,,True
3,0.04670339751811255,0.04670339751811255,0.0,88.05566293003479,0.0,0.3507344283373339,,,,,,,,True
4,0.026818793621801194,0.026818793621801194,0.0,92.34634712021646,0.0,0.3344766102863699,,,,,,,,True
5,0.0121651700298701,0.0121651700298701,0.0,96.25048318515655,0.0,0.35589051257321974,,,,,,,,True
6,0.006362026712546746,0.006362026712546746,0.0,98.22187862388867,0.0,0.32088383716287366,,,,,,,,True
7,0.0036087235701935633,0.0036087235701935633,0.0,99.07228449942018,0.0,0.33190323319813186,,,,,,,,True
8,0.0018587706921001275,0.0018587706921001275,0.0,99.61345187475841,0.0,0.3215130727235381,,,,,,,,True
9,0.001105018852589031,0.001105018852589031,0.0,99.92269037495169,0.0,0.32551415647822984,,,,,,,,True
10,0.001069327040265004,0.001069327040265004,0.0,99.84538074990336,0.0,0.3265209132340939,,,,,,,,True
11,0.0015399493110765303,0.0015399493110765303,0.0,99.45883262466177,0.0,0.32007358374463507,,,,,,,,True
12,0.0008823501453402319,0.0008823501453402319,0.0,99.88403556242753,0.0,0.32590540978659066,,,,,,,,True
13,0.00038391233274957077,0.00038391233274957077,0.0,100.0,0.0,0.31012887662305855,,,,,,,,True
14,0.0002654346850855897,0.0002654346850855897,0.0,100.0,0.0,0.32012663839614736,,,,,,,,True
15,0.0002891793677311701,0.0002891793677311701,0.0,99.96134518747584,0.0,0.30901261943845076,,,,,,,,True
16,0.0006980053014038796,0.0006980053014038796,0.0,99.8067259373792,0.0,0.31504554325545403,,,,,,,,True
17,0.0004126528164349674,0.0004126528164349674,0.0,100.0,0.0,0.3068186341317282,,,,,,,,True
18,0.0004828219586800385,0.0004828219586800385,0.0,99.88403556242753,0.0,0.3099396407926172,,,,,,,,True
19,0.00028121089244017466,0.00028121089244017466,0.0,100.0,0.0,0.3203490828503783,,,,,,,,True
20,0.001061764213469966,0.001061764213469966,0.0,99.96134518747584,0.0,0.3242491813083041,,,,,,,,True
21,5.148403350044699,0.1460492269081228,0.02102111017002779,72.84007352941177,79.12408759124088,0.5633496261500888,0.9346951281323153,0.5322648374473348,0.903087384560529,0.27319423766697154,0.0013752789921401179,0.998302698135376,0.10014763474464417,False
22,1.6381005973500364,0.0762089089873959,0.020311008481418386,79.96323529411765,75.03649635036497,0.5562283364668478,0.8186485276502722,0.7657395390903249,0.7975956061307121,0.24096878486521103,0.001274916363934822,0.9966078400611877,0.10026061534881592,False
23,0.06928071774104062,0.04530980032594765,0.015738855389987722,89.98161764705883,77.5669099756691,0.5547049868033626,0.6476966668577755,0.8298110260682947,0.6409720883649939,0.19312279715257533,0.00098988031694556,0.9949122667312622,0.10034355521202087,False
24,-1.0117945004911983,0.02382048000307644,0.013711427941041835,92.92279411764706,71.67883211678833,0.5748510562725454,0.5751769104424644,0.8669893496176776,0.5750713541227228,0.17295126003377578,0.0008491513161810444,0.9932175874710083,0.10039098560810089,False
25,-1.282470398089465,0.018737888374530217,0.00981981263441198,94.43933823529412,77.61557177615572,0.5807396774181113,0.48193850236780506,0.7721379925222958,0.4938284193768221,0.14789294057032643,0.0006778221543166129,0.9915235638618469,0.1004190593957901,False
26,-1.5214688488665749,0.014223170302370015,0.006960633923025692,95.95588235294117,83.74695863746959,0.5529177842602451,0.45475267487413745,0.6713711303823134,0.42077529255081625,0.12820355988600673,0.0005442058763411991,0.9898310303688049,0.10043938457965851,False
27,-1.8939905587364645,0.006836294771774727,0.006004175719092874,97.88602941176471,81.45985401459853,0.5784948747137695,0.42859746077481436,0.6712897490052616,0.39245738527354074,0.11978561781785067,0.00048279335468952707,0.9881418347358704,0.10044601559638977,False
28,-1.8763663698645199,0.0073353513828752675,0.0054551257806665756,97.74816176470588,83.16301703163018,0.5926891215635955,0.39404167147243724,0.6183488929972929,0.36684634405023914,0.11163394942003138,0.0004405577595153933,0.986457109451294,0.10044381767511368,False
29,-1.8757017202237074,0.007558300584445105,0.00408848944832297,98.80514705882354,83.16301703163018,0.5881460841272749,0.3579181888524224,0.5325435680501601,0.3241129745455349,0.09910700382555232,0.00036570087403935543,0.9847767949104309,0.10044053941965103,False
30,-2.0581547933466293,0.004014388332828222,0.0033828090218936697,99.03492647058823,83.94160583941606,0.601217951284735,0.33180487155914307,0.46094881962327394,0.3030889735502355,0.09252852113807902,0.000332069124423844,0.9831010103225708,0.10043177753686905,False
31,-2.1572000980377197,0.00205928592271555,0.003524654051836799,99.26470588235294,83.06569343065694,0.6101748899363494,0.3132071696660098,0.4565824217656079,0.3041848575367647,0.09187133215806063,0.0003295194679487716,0.9814304113388062,0.10041508078575134,False
32,-2.1610092135036694,0.0021096661636393573,0.002894110539380242,99.58639705882354,86.13138686131387,0.6210020571808293,0.3084285715047051,0.37712590484058156,0.2848027427406872,0.08677458894603393,0.0003049495648798149,0.9797655344009399,0.10039287060499191,False
33,-2.1006731741568623,0.0034304916405423734,0.0023361058796153348,99.44852941176471,86.03406326034063,0.6027592679223648,0.32949188439285054,0.345341740285649,0.26122573719305153,0.08191627220195882,0.0002704879777464906,0.9781062602996826,0.10036898404359818,False
