epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,align_loss,lambda_grl,entropy_loss,epoch_warmup
1,0.20723994011464325,0.20723994011464325,0.0,47.81861903126074,0.0,0.4042255311061909,,,,True
2,0.19412946701049805,0.19412946701049805,0.0,72.44933012710409,0.0,0.3091894833636722,,,,True
3,0.1762618856585544,0.1762618856585544,0.0,74.27001030573686,0.0,0.36434422382232173,,,,True
4,0.15629489266354105,0.15629489266354105,0.0,73.75472346272758,0.0,0.3899419912271025,,,,True
5,0.1420698182090469,0.1420698182090469,0.0,70.86911714187565,0.0,0.3638366814301959,,,,True
6,0.1338021087905635,0.1338021087905635,0.0,69.39196152524906,0.0,0.3524354855413033,,,,True
7,0.13068869094485822,0.13068869094485822,0.0,72.38062521470285,0.0,0.33765776638004724,,,,True
8,0.1261699144607005,0.1261699144607005,0.0,65.7506011679835,0.0,0.3278506293859931,,,,True
9,0.8769572032125372,0.1349493833748918,0.6921835698579487,71.99835526315789,70.54498269896193,0.517245033978952,0.06183241582230518,0.0026771403697139423,0.9454024622314855,False
10,0.8517341927478188,0.12728063095557063,0.691813566182789,70.72368421052632,69.50692041522491,0.5173313284046245,0.027431887133341087,0.002820024401541374,0.9462031345618399,False
11,0.8493392122419257,0.12837199945198863,0.6914926704607511,68.37993421052632,62.19723183391003,0.5068407820114262,0.021591531112790108,0.002970477410027344,0.9339391087230883,False
12,0.8396834448764199,0.12021614964071073,0.6909503434833727,68.33881578947368,61.418685121107266,0.521223598067758,0.020263377086896645,0.0031288941033693605,0.9192633848441275,False
13,0.8394119645419874,0.12101083327280848,0.6909473569769609,69.94243421052632,61.80795847750865,0.5000024963620927,0.018706083003627628,0.0032956890901647187,0.9050364996257582,False
14,0.8305845950779162,0.11346383353597239,0.6904842571208352,71.75164473684211,62.9757785467128,0.5163289662417093,0.017515138477871294,0.003471297807812012,0.8939464186367235,False
15,0.8327722612180208,0.11632962446463735,0.6905324615930256,68.66776315789474,56.40138408304498,0.49163947051221574,0.016392616653128675,0.0036561774858805012,0.8856933744330155,False
16,0.8291537949913427,0.11345802482805754,0.6903055780812314,72.36842105263158,61.46193771626297,0.4984043302928682,0.01588613848741117,0.003850808144787236,0.8723562642147666,False
17,0.8237093624315763,0.10871999750011846,0.6904642362343637,73.23190789473684,61.37543252595156,0.5103268278470151,0.014366297786565204,0.0040556936299881285,0.8670986984905443,False
18,0.8238450226030851,0.10952719261771754,0.6899438406291761,72.73848684210526,62.326989619377166,0.5018906314520875,0.014427693658753446,0.004271362681734137,0.8580069134109899,False
19,0.8214497283885354,0.10729805889882539,0.6900174868734259,71.29934210526316,60.1643598615917,0.5063008105888591,0.01412424807877917,0.004498370040265427,0.85360271366019,False
20,0.8207812622973794,0.10726994746609737,0.6893603958581623,72.53289473684211,61.89446366782007,0.5086272648542429,0.014153480823887022,0.004737297586112454,0.8537086813073409,False
21,0.8193820683579696,0.10661793892320834,0.6891530877665469,72.36842105263158,62.54325259515571,0.5002249143281055,0.01356562575031268,0.00498875551494056,0.8414114901894018,False
22,0.8141657741446244,0.10162079687181272,0.6886855301104093,74.71217105263158,64.18685121107266,0.5053997580873038,0.014320717928440948,0.005253383546111449,0.834954813907021,False
23,0.8134560930101495,0.10148156904860546,0.6886652174748873,72.57401315789474,58.52076124567474,0.49599994641346773,0.013635938742050999,0.005531852163837611,0.8245665148684853,False
24,0.8128341812836496,0.10177182680682133,0.6880423207032053,73.31414473684211,62.240484429065745,0.5148394322914595,0.013127617881094155,0.005824863889471553,0.8228108631937128,False
25,0.8119975014736778,0.10125965977969922,0.6880679883454975,73.76644736842105,63.71107266435986,0.5206545252463939,0.012658390314563325,0.006133154583097085,0.8170326885424162,False
26,0.8114809205657557,0.10053936548923191,0.6883469380830464,75.69901315789474,63.062283737024224,0.5013016217258247,0.012547397250799756,0.0064574947721717435,0.8160462128488641,False
27,0.8052901594262374,0.09552342915221264,0.6874474757596066,75.57565789473684,65.05190311418686,0.5135443021805699,0.012292578130176193,0.006798691004503573,0.8086476514213964,False
28,0.8034589353360628,0.09338260716513584,0.687872400409297,76.27467105263158,64.61937716262976,0.4996389571515883,0.012458161401905511,0.007157587222329169,0.7987416857167294,False
29,0.8022012585087827,0.09362789517954777,0.6861290523880407,74.91776315789474,64.18685121107266,0.5060775203213085,0.013056431063695959,0.007535066153688168,0.795804500579834,False
30,0.800748536461278,0.08995459620889865,0.6890124113936174,75.57565789473684,62.5,0.502535626333014,0.011813921069628313,0.00793205071665918,0.7937282857141996,False
31,0.799852518658889,0.09020235938461203,0.6878437713572854,77.01480263157895,66.56574394463668,0.52589416603472,0.011835332322669657,0.008349505431329314,0.794435623445009,False
32,0.8006022290179604,0.09155148522634256,0.6874662669081437,74.71217105263158,66.82525951557093,0.5278960914078851,0.011975672145031,0.008788437833609759,0.7798322784273248,False
