epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,ot_loss,entropy_loss,lambda_grl,ot_match_loss,align_loss,ot_topk_loss,epoch_warmup
1,0.14428612607575597,0.14428612607575597,0.0,64.0510243525319,0.0,0.3446262604253671,,,,,,,True
2,0.07194721556845166,0.07194721556845166,0.0,83.3011209895632,0.0,0.35209096722296546,,,,,,,True
3,0.04144908017700627,0.04144908017700627,0.0,89.563200618477,0.0,0.35526538533360563,,,,,,,True
4,0.021332953080889724,0.021332953080889724,0.0,94.35639737147275,0.0,0.35168414386827834,,,,,,,True
5,0.009483740620669864,0.009483740620669864,0.0,97.21685349826053,0.0,0.3473790338842242,,,,,,,True
6,0.005635272389987395,0.005635272389987395,0.0,98.29918824893699,0.0,0.3443235445687032,,,,,,,True
7,0.004046428078297703,0.004046428078297703,0.0,99.03362968689602,0.0,0.32767321161807444,,,,,,,True
8,0.0027435917096833387,0.0027435917096833387,0.0,99.30421337456514,0.0,0.3343081357841447,,,,,,,True
9,0.0013078337679395364,0.0013078337679395364,0.0,99.76807112485504,0.0,0.3353457011721899,,,,,,,True
10,0.001124895457732713,0.001124895457732713,0.0,99.76807112485504,0.0,0.3135100196952724,,,,,,,True
11,0.000759066579381137,0.000759066579381137,0.0,99.88403556242753,0.0,0.3399837293493027,,,,,,,True
12,0.0004639047270064198,0.0004639047270064198,0.0,100.0,0.0,0.33969891612124586,,,,,,,True
13,0.00032373490969240225,0.00032373490969240225,0.0,100.0,0.0,0.3375545122154929,,,,,,,True
14,0.000421265803673859,0.000421265803673859,0.0,100.0,0.0,0.33397548382897163,,,,,,,True
15,0.0006591209658792996,0.0006591209658792996,0.0,99.96134518747584,0.0,0.30694102895833514,,,,,,,True
16,0.010582840483125654,0.010582840483125654,0.0,99.18824893699265,0.0,0.403250409074521,,,,,,,True
17,0.01964031581744729,0.01964031581744729,0.0,95.59335137224585,0.0,0.4143616351078426,,,,,,,True
18,0.012038293715921185,0.012038293715921185,0.0,97.06223424816389,0.0,0.3070895382799529,,,,,,,True
19,0.008709130365224112,0.008709130365224112,0.0,98.60842674913026,0.0,0.31597438355203433,,,,,,,True
20,0.022094827355994356,0.022094827355994356,0.0,93.7379203710862,0.0,0.3407474629516766,,,,,,,True
21,0.8878203910939834,0.09570739067652646,0.6922822524519527,81.34191176470588,81.80048661800487,0.46675786113887857,0.593863432898241,0.49196457862854004,0.0026771403697139423,0.0007641521857722717,0.1799829058787402,0.6226993974517373,False
22,0.8070583133136525,0.05268175111097448,0.692009820657618,85.6158088235294,82.82238442822384,0.6236409997047895,0.34712571782224316,0.4663945155985215,0.0028298696502209886,0.00044991509126061024,0.10607767718679764,0.38142580758122835,False
23,0.7629160810919369,0.03206058503950343,0.6920035621699165,92.23345588235294,83.35766423357664,0.6174897257600529,0.19442379562293782,0.42009296837974996,0.0029912464494624477,0.00022098855269552374,0.06090013507534476,0.2436738215825137,False
24,0.7423486604410059,0.020643039195633987,0.691844617619234,94.25551470588235,83.99026763990268,0.6088352052202867,0.14886756241321564,0.33288903797374053,0.0031617526992426754,0.0001579150279319626,0.04640644438126508,0.18221193113747766,False
25,0.7336603332968319,0.014827196020632982,0.6918652057647705,95.72610294117646,82.77372262773723,0.6078512233557033,0.13905018217423382,0.28954678773880005,0.0033418962889854905,0.00014756623867844397,0.04235400873072007,0.1503535921082777,False
26,0.7236412272733801,0.009750897941343924,0.6916810098816367,96.92095588235294,83.89294403892944,0.6136812086497486,0.11504470819936079,0.21306062971844392,0.003532212358032766,0.0001137395083787851,0.03589619148303481,0.14156289661631866,False
27,0.725917819668265,0.012590029276907444,0.6916212895337273,96.96691176470588,83.30900243309003,0.6034512901445092,0.11472978662042056,0.19426973098341158,0.003733264639664364,0.00012085681159720373,0.035642193630337715,0.13798636154216878,False
28,0.7208379927803489,0.008164358517045485,0.691706657409668,97.24264705882354,81.31386861313868,0.6039943706739316,0.11041897140881594,0.23066243178704204,0.003945646857326952,0.00010790358175975544,0.03270746986655628,0.10097550118670744,False
29,0.7171481602332171,0.007211788441054523,0.6916393707780277,97.24264705882354,82.67639902676399,0.6210401768099919,0.09388188623330172,0.18968952293781674,0.004169984173324954,8.4515489588204e-05,0.029006417840719223,0.10987377429709715,False
30,0.7135680247755611,0.004306543180171181,0.6916789868298698,98.62132352941177,83.2603406326034,0.6186517729725042,0.09589363196316887,0.16172085833900116,0.004406934689953726,9.140342744478189e-05,0.02869617544552859,0.09354130836094127,False
31,0.7096710310262793,0.001917858556707335,0.6913282871246338,99.63235294117646,84.18491484184915,0.6207133058984912,0.09094246520715601,0.13366981858716293,0.004657191002738199,8.365472839453586e-05,0.027502979316255626,0.09451072093318491,False
32,0.7102833705789903,0.0017393769470372183,0.6915617515059078,99.58639705882354,83.89294403892944,0.6231366210130452,0.0923255436560687,0.11968264128903255,0.0049214818050755775,9.865461213527905e-05,0.029177205308395272,0.1209298328441732,False
33,0.708687375573551,0.0012634803184910731,0.6915912593112272,99.63235294117646,84.13625304136254,0.6255544670936422,0.08611373077420627,0.11979661312173395,0.005200573543162767,8.188354866647655e-05,0.026873418732601052,0.10608088005991544,False
34,0.7061698612044839,0.0006373735719963032,0.6915265707408681,99.81617647058823,84.5742092457421,0.6241611039226029,0.07739137156921275,0.10759643859723035,0.005495272119612564,6.680146094260956e-05,0.02370796089663225,0.08653434453641667,False
35,0.7053926587104797,0.000677834455820951,0.6913907107184915,99.81617647058823,84.91484184914842,0.6198107113997954,0.07627090636421652,0.09522885040325277,0.005806424643621896,6.808440230088308e-05,0.02283904854865635,0.07474559501690023,False
36,0.7058520422262304,0.0013964534668690141,0.6916996135431177,99.81617647058823,84.330900243309,0.6238249351640196,0.07201727961792666,0.10234850776546142,0.006134921224943994,6.231624009909437e-05,0.021418008350712413,0.06765061200541608,False
37,0.7040349245071411,0.0012891919733887976,0.6915178824873531,99.86213235294117,84.47688564476886,0.6260467433716183,0.062190393314642066,0.09602820741779663,0.006481696808227915,5.128906003151582e-05,0.01861455203855739,0.06082618148887858,False
38,0.7045311717426076,0.0005880024875616929,0.69179328399546,99.86213235294117,83.74695863746959,0.6256103526367697,0.06971937965820818,0.08586198288728208,0.006847733043516694,6.262115643681575e-05,0.02086526281474268,0.06808214963358991,False
39,0.7038260768441593,0.00031114516647957153,0.6913455654593075,99.95404411764706,84.47688564476886,0.6210728633979938,0.07182950044379514,0.07295887720058947,0.0072340601878324445,6.960111354333897e-05,0.02142038492157179,0.0685641826952205,False
40,0.7048894938300637,0.002165877119456555,0.6916777281200185,99.77022058823529,84.62287104622871,0.6304821162032527,0.061785610940526516,0.0691030597423806,0.007641759031815275,5.6495306660722505e-05,0.019327625248800304,0.07705950167249231,False
41,0.705429312060861,0.002368646844415172,0.69144066992928,99.17279411764706,83.16301703163018,0.6181196639742098,0.06726329510702807,0.08048703214701484,0.008071962844316247,6.438814585528555e-05,0.020020517794524923,0.06344999811228584,False
42,0.7038127850083744,0.001290933764882057,0.6914661666926216,99.49448529411765,83.74695863746959,0.6229134912666726,0.06318726390600204,0.07160678286762799,0.00852585932666442,5.799209033926565e-05,0.01924711257657584,0.06842601288329153,False
43,0.702850787078633,0.0018375616022882134,0.691674975787892,99.72426470588235,84.28223844282239,0.6302346147583701,0.054150783402078295,0.0659940841005129,0.009004692567027416,4.4574998088030366e-05,0.016036731574465248,0.04953496530652046,False
44,0.7026843148119309,0.0010025074640425907,0.6916564036818111,99.72426470588235,83.74695863746959,0.6416260162601626,0.058139889336684174,0.07748871603432823,0.009509764983856327,4.803193138179588e-05,0.01695127401720075,0.0478457141229335,False
45,0.7041861134416917,0.0023195322124486078,0.6916115774827845,99.77022058823529,84.13625304136254,0.6349703055411925,0.056966908276081085,0.06464074091876254,0.010042439245842215,5.093435303184806e-05,0.017924377146889183,0.07314365532468348,False
46,0.7033070255728329,0.0010351827701978275,0.6914563950370339,99.44852941176471,83.69829683698296,0.6374844583742069,0.06010452285408974,0.07530317258308916,0.010604140154107046,5.527793708846302e-05,0.018618767423664823,0.07129995316705283,False
47,0.7023955127772163,0.0011569495770398883,0.6915995548753178,99.6783088235294,84.37956204379562,0.6335533210597477,0.0570271900471519,0.0707466952940997,0.011196356470499984,4.9436512841459585e-05,0.01644814310266691,0.04333254848332966,False
48,0.7012293514083413,0.000631581905455438,0.6914095072185292,99.86213235294117,84.81751824817518,0.6373541761706657,0.051696617156267166,0.05651457596789388,0.011820642673867766,4.662213092053528e-05,0.016115932834937292,0.06336934765910401,False
49,0.7009878474123338,0.000687066135202151,0.6912814764415517,99.77022058823529,84.42822384428224,0.6322260855170575,0.05244901359957807,0.06203997398124022,0.012478620624010742,4.623558978731607e-05,0.015557026052299668,0.04843308962881565,False
50,0.7010693795540753,0.00047573944517781083,0.6917941149543313,99.81617647058823,84.28223844282239,0.6373655143119249,0.05068493152365965,0.0586127643199528,0.013171981110723936,4.425304124357781e-05,0.015254551654352862,0.05122384352280813,False
51,0.7004922418033376,0.0003707133056356243,0.6915241935673881,100.0,84.72019464720195,0.6433707468100884,0.0495837411898024,0.06202737811733695,0.013902485262856515,4.4930530480889825e-05,0.014713580062722458,0.04590358683729873,False
52,0.7015171576948727,0.0006077897285328671,0.6914844022077673,99.86213235294117,84.42822384428224,0.6376923076117644,0.0559968117843656,0.049126935848856676,0.014671965789706155,5.542700027410105e-05,0.016884860473082346,0.05715887796352891,False
