epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,eta_1,entropy_loss,align_loss,sigma,eta_2,epoch_warmup
1,0.13330371976818567,0.13330371976818567,0.0,68.84422110552764,0.0,,,,,,True
2,0.06941152223742303,0.06941152223742303,0.0,82.52802473908001,0.0,,,,,,True
3,0.04366979350186424,0.04366979350186424,0.0,89.64051024352531,0.0,,,,,,True
4,0.02381553930333919,0.02381553930333919,0.0,92.73289524545805,0.0,,,,,,True
5,0.018376723775513654,0.018376723775513654,0.0,95.01352918438346,0.0,,,,,,True
6,0.011282888127571363,0.011282888127571363,0.0,96.79165056049479,0.0,,,,,,True
7,0.0044081895105558,0.0044081895105558,0.0,98.72439118670275,0.0,,,,,,True
8,0.005088066635689307,0.005088066635689307,0.0,98.45380749903363,0.0,,,,,,True
9,4.546252495508927,0.13361972068937925,0.14914951439087207,78.22115384615384,77.85888077858881,0.10047417134046555,0.7244816234478584,0.21620440276769493,6.634204312890622,0.9934837818145752,False
10,1.747334485558363,0.079639595374465,0.07367945061280178,85.48076923076923,76.4963503649635,0.10083439201116562,0.8124590140122634,0.1376644689303178,6.3024940972460906,0.9867235422134399,False
11,-0.2626097483990284,0.039805552506676084,0.04901625683101324,90.4326923076923,75.62043795620438,0.1010470911860466,0.7059289877231304,0.10906862135116871,5.987369392383787,0.9800065159797668,False
12,-0.6973765134811402,0.031645636604382445,0.0285395613943155,93.65384615384616,80.48661800486617,0.10119767487049103,0.6060526380172142,0.08640800737417662,5.688000922764597,0.9733383655548096,False
13,-1.6095593021466181,0.013324365474713537,0.022053121775388717,96.00961538461539,80.04866180048661,0.10126402229070663,0.5211678945101225,0.07779589220881462,5.403600876626367,0.9667649865150452,False
14,-1.5387829879155526,0.014979954497315562,0.02277311901920117,96.58653846153847,81.31386861313868,0.1013176441192627,0.4090831275169666,0.07513169067410322,5.133420832795048,0.9602993726730347,False
15,-1.9646539229613085,0.00650394093648244,0.017784760620158453,98.50961538461539,82.09245742092457,0.1013084128499031,0.36376094130369335,0.06974130055079093,4.876749791155295,0.9539006352424622,False
16,-2.108340060710907,0.0038415096716142637,0.013175948816709793,99.13461538461539,83.89294403892944,0.10125912725925446,0.3108086485129136,0.06240454872067158,4.63291230159753,0.9475570917129517,False
17,-2.1810258113420926,0.0024830332558709554,0.015277434004327425,99.13461538461539,83.30900243309003,0.10119468718767166,0.2932795189894163,0.06173522569812261,4.401266686517654,0.9412955641746521,False
18,-1.9792353584216191,0.006834607662890098,0.015116360063592975,99.03846153846153,82.67639902676399,0.10115927457809448,0.24948556950459114,0.055866588594821784,4.181203352191771,0.9351045489311218,False
19,-2.2553388430522037,0.0014100833976674319,0.012326507950918032,99.47115384615384,83.55231143552311,0.10108615458011627,0.23821796293442066,0.05109299590381292,3.972143184582182,0.9289580583572388,False
20,-2.194002721859859,0.0028190522644894584,0.011620972925223983,99.61538461538461,84.96350364963503,0.10100607573986053,0.20700775018105141,0.052234611832178555,3.7735360253530725,0.9228830933570862,False
21,-2.0972367451741145,0.0049587453631444916,0.012061655403186496,99.71153846153847,84.23357664233576,0.10091137140989304,0.205763041973114,0.04924629342097502,3.584859224085419,0.9168710708618164,False
22,-2.2152343419881966,0.0027302102190031536,0.011589029123290228,99.51923076923077,83.89294403892944,0.10086005181074142,0.19252517177508427,0.04703183601108881,3.405616262881148,0.9109101891517639,False
23,-2.326191313450153,0.0006981890335343731,0.008786339191003488,99.71153846153847,83.94160583941606,0.10073652118444443,0.1914233569915478,0.04277866603090213,3.2353354497370903,0.9049950242042542,False
24,-2.2242978673714857,0.002908807856598427,0.010060808528214693,99.32692307692308,83.06569343065694,0.10064314305782318,0.18117060363292695,0.04233790865311256,3.0735686772502357,0.8991376757621765,False
25,-2.342456889152527,0.0006402713547277454,0.010314622919003551,99.8076923076923,83.30900243309003,0.10050428658723831,0.181719313791165,0.04435686979156274,2.919890243387724,0.8933492302894592,False
