epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,align_loss,entropy_loss,epoch_warmup
1,0.13330371976818567,0.13330371976818567,0.0,68.84422110552764,0.0,,,True
2,0.06941152223742303,0.06941152223742303,0.0,82.52802473908001,0.0,,,True
3,0.04366979350186424,0.04366979350186424,0.0,89.64051024352531,0.0,,,True
4,0.02381553930333919,0.02381553930333919,0.0,92.73289524545805,0.0,,,True
5,0.018376723775513654,0.018376723775513654,0.0,95.01352918438346,0.0,,,True
6,0.011282888127571363,0.011282888127571363,0.0,96.79165056049479,0.0,,,True
7,0.0044081895105558,0.0044081895105558,0.0,98.72439118670275,0.0,,,True
8,0.005088066635689307,0.005088066635689307,0.0,98.45380749903363,0.0,,,True
9,0.1890025855256961,0.10971745223953173,0.0006392203844510592,75.4326923076923,82.4330900243309,0.1434576297035584,0.3746198122317974,False
10,0.09423254218239051,0.05760224424302578,0.00013968669451200046,85.52884615384616,78.15085158150852,0.056471227052120064,0.4190357760741161,False
11,0.06465118321088645,0.03600370551531131,0.00011798876982468824,88.41346153846153,80.38929440389295,0.04405614086068593,0.3303804317345986,False
12,0.04671366515641029,0.021983343477432544,9.676951628464918e-05,92.78846153846153,82.09245742092457,0.038550247853765124,0.2722760207377947,False
13,0.03568828217685223,0.014583055323992785,6.746878990760216e-05,95.04807692307692,82.04379562043796,0.03233290148469118,0.2466014564037323,False
14,0.03288337061038384,0.013376832842970124,8.275508880615235e-05,96.10576923076923,84.52554744525547,0.0310749418173845,0.19803956357332375,False
15,0.026824738257206403,0.009820566526076827,5.626678466796875e-05,96.92307692307692,84.8661800486618,0.02675376428434482,0.18108316224354964,False
16,0.022097118743337116,0.006737164522145087,5.179460232074444e-05,97.88461538461539,84.76885644768856,0.024153130874037743,0.16391047245034804,False
17,0.021231097126236328,0.006487180851399899,4.942142046414889e-05,98.02884615384616,83.99026763990268,0.023003491272146886,0.16186142678444201,False
18,0.016973019061753383,0.0037674969178624453,4.773323352520282e-05,98.60576923076923,85.20681265206812,0.020743272095345534,0.14145563625945495,False
19,0.014243281561021622,0.0025025101876683317,3.299254637498122e-05,99.42307692307692,85.06082725060827,0.01826149057596922,0.1303363483112592,False
20,0.01281158602438294,0.0020130124843070426,3.379124861497145e-05,99.27884615384616,86.08272506082724,0.017267539352178573,0.10807124078273773,False
21,0.012473448960540387,0.0017517521092556237,4.00084715623122e-05,99.42307692307692,85.93673965936739,0.01724378543977554,0.10479016607770553,False
22,0.012647699027393874,0.0023488727197848044,3.789204817551833e-05,99.23076923076923,84.76885644768856,0.01645142246897404,0.10346629545092582,False
23,0.009652179844964009,0.0011859878419132797,2.251129883986253e-05,99.75961538461539,85.49878345498783,0.013195965109536282,0.09329792169424203,False
24,0.009466946963220835,0.0011837489901294108,2.5124733264629658e-05,99.75961538461539,85.74209245742092,0.013228120325276484,0.08333126742106217,False
25,0.0092896909524615,0.0009248057895232566,2.580147523146409e-05,99.8076923076923,85.79075425790754,0.013779504611515081,0.07362763655300324,False
26,0.017700812363853822,0.00979144092254081,2.880096435546875e-05,98.60576923076923,85.93673965936739,0.012725977241419828,0.07717513376130508,False
27,0.034498937470981705,0.023205242587853437,5.8961831606351415e-05,93.07692307692308,84.330900243309,0.017143889158391035,0.1357927143573761,False
28,0.038994417611796124,0.0281744949788285,5.094546538132888e-05,94.47115384615384,84.13625304136254,0.015627413171415146,0.15005608395888256,False
29,0.02778929555072234,0.015673674080664148,4.119231150700496e-05,96.15384615384616,83.94160583941606,0.0169833278713318,0.18099192208968676,False
30,0.012387952939249002,0.0030423049255310056,2.5605238400972808e-05,99.08653846153847,83.06569343065694,0.01397985780181793,0.11765793295433888,False
31,0.009176628814580349,0.0011416207593216454,2.3791423210730918e-05,99.8076923076923,85.01216545012166,0.012578640706264056,0.08716542904193585,False
32,0.00814341764467267,0.0005899246544476438,1.884607168344351e-05,99.90384615384616,85.20681265206812,0.01203767338481087,0.07663858444071733,False
