epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,eta_1,eta_2,epoch_warmup
1,0.21162107373986924,0.21162107373986924,0.0,53.45960572091225,0.0,,,True
2,0.15084721006098248,0.15084721006098248,0.0,61.30653266331658,0.0,,,True
3,0.13511385804130918,0.13511385804130918,0.0,60.68805566293003,0.0,,,True
4,0.13749387966735022,0.13749387966735022,0.0,62.04097410127561,0.0,,,True
5,0.13439896738245374,0.13439896738245374,0.0,64.24429841515268,0.0,,,True
6,0.1305689322096961,0.1305689322096961,0.0,70.1971395438732,0.0,,,True
7,0.12421410122797602,0.12421410122797602,0.0,68.99884035562428,0.0,,,True
8,0.12389421569449562,0.12389421569449562,0.0,65.86780054116737,0.0,,,True
9,0.1159424168013391,0.1159424168013391,0.0,73.28952454580595,0.0,,,True
10,0.11488259796585355,0.11488259796585355,0.0,66.56358716660225,0.0,,,True
11,0.12101588540133976,0.12101588540133976,0.0,68.26439891766525,0.0,,,True
12,0.11384272078673045,0.11384272078673045,0.0,65.7518361035949,0.0,,,True
13,0.11619644576594942,0.11619644576594942,0.0,70.31310398144569,0.0,,,True
14,0.11666318029165268,0.11666318029165268,0.0,66.988790104368,0.0,,,True
15,0.11311980159509749,0.11311980159509749,0.0,65.98376497873986,0.0,,,True
16,0.10697994505365689,0.10697994505365689,0.0,74.91302667182065,0.0,,,True
17,0.10889160455692382,0.10889160455692382,0.0,70.46772323154232,0.0,,,True
18,0.1079571878626233,0.1079571878626233,0.0,72.90297642056436,0.0,,,True
19,0.11612477011623837,0.11612477011623837,0.0,70.69965210668728,0.0,,,True
20,0.10689209011339006,0.10689209011339006,0.0,70.42906841901817,0.0,,,True
21,0.13450894986881928,0.13143174876185024,0.030772011507959926,70.3125,73.81995133819952,,,False
22,0.12562213881927378,0.12239229503799887,0.032298426856012905,62.91360294117647,60.29197080291971,,,False
23,0.11514523187104393,0.1123558528283063,0.02789379787795684,72.65625,69.92700729927007,,,False
24,0.1074255726793233,0.10489907334832584,0.025264983339344755,74.86213235294117,67.54257907542579,,,False
25,0.11221745259621564,0.1097326068317189,0.024848448879578534,74.35661764705883,66.86131386861314,,,False
26,0.1105785781846327,0.10802026180660024,0.025583157754119706,70.68014705882354,64.42822384428224,,,False
27,0.10797776413314483,0.10559679085717481,0.02380973013008342,68.88786764705883,62.72506082725061,,,False
28,0.10957355928771637,0.10718456261298236,0.02388996411772335,69.9908088235294,61.3625304136253,,,False
29,0.10146327711203519,0.09911064847427256,0.02352629108902286,73.25367647058823,64.67153284671532,,,False
30,0.0949163835714845,0.0927257182843545,0.021906657747047788,70.7720588235294,54.74452554744526,,,False
31,0.0951127769315944,0.09288183512056575,0.02230942260254832,68.47426470588235,50.99756690997567,,,False
32,0.09361510504694547,0.09158775999265559,0.020273448570686227,71.78308823529412,50.900243309002434,,,False
33,0.1015723437509116,0.09948652719750124,0.020858172272496363,72.84007352941177,59.07542579075426,,,False
34,0.09633271922083463,0.09425091962603961,0.020817990579149303,71.73713235294117,61.167883211678834,,,False
35,0.08274148360771291,0.08067361835171194,0.02067864384940442,74.17279411764706,55.08515815085158,,,False
36,0.09447590809534578,0.09239991491331774,0.020759943653555477,74.49448529411765,57.956204379562045,,,False
37,0.08980323856367785,0.0875296785550959,0.02273560025017051,71.69117647058823,51.97080291970803,,,False
38,0.09931963024770513,0.09717936375561882,0.021402668646153283,73.1158088235294,57.372262773722625,,,False
39,0.09107738514156903,0.08902248301926781,0.020549018976881224,73.94301470588235,55.86374695863747,,,False
40,0.0905403654803248,0.08851160065216176,0.020287655074806774,73.25367647058823,57.27493917274939,,,False
41,0.0909309983253479,0.08898061557727702,0.01950383246602381,72.1966911764706,52.21411192214112,,,False
42,0.08195760780397583,0.07995549085385659,0.02002117514391156,76.28676470588235,57.66423357664234,,,False
43,0.09047144278883934,0.08844643086194992,0.020250116255791747,72.56433823529412,51.53284671532847,,,False
44,0.07882401478641174,0.07692812295521007,0.01895891672328991,75.64338235294117,52.99270072992701,,,False
45,0.08049807456486366,0.07862546623629682,0.018726081916076297,74.44852941176471,51.386861313868614,,,False
46,0.07861561284345739,0.07673091704354566,0.018846960080897108,74.03492647058823,48.3698296836983,,,False
47,0.0794626941137454,0.07755134912098155,0.0191134460927809,76.83823529411765,54.89051094890511,,,False
48,0.07836617025382378,0.07632674999973353,0.020394201390445232,71.50735294117646,48.710462287104626,,,False
49,0.07752135637051918,0.07560244881931473,0.019189066144035143,73.66727941176471,56.496350364963504,,,False
50,0.0856255985358182,0.0836270149139797,0.0199858351774952,72.70220588235294,52.45742092457421,,,False
51,0.07830436220940422,0.07626134989892736,0.020430122556931832,74.12683823529412,45.49878345498784,,,False
52,0.07280632218017298,0.07076157958191984,0.020447419244138634,77.29779411764706,51.19221411192214,,,False
53,0.08141022832954631,0.07945582511670449,0.01954403519630432,73.25367647058823,40.5352798053528,,,False
54,0.07885867050465416,0.07694547689136337,0.019131929997135613,77.34375,53.09002433090024,,,False
55,0.08056804647340494,0.0785948894917965,0.019731568008223,75.91911764705883,44.038929440389296,,,False
56,0.07580275417250745,0.07379122472861234,0.020115291097146624,77.89522058823529,50.31630170316302,,,False
57,0.06839704053366885,0.06647578846005832,0.019212514600333047,76.65441176470588,48.02919708029197,,,False
58,0.06915816730436157,0.06729947008630809,0.018586970372673345,75.78125,53.67396593673966,,,False
59,0.0654707938870963,0.06363118965836133,0.01839603697333266,78.30882352941177,52.50608272506083,,,False
60,0.06577000065761454,0.06395330805988873,0.01816692197804942,79.77941176470588,54.74452554744526,,,False
