epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,align_loss,eta_1,eta_2,entropy_loss,epoch_warmup
1,0.13330371976818567,0.13330371976818567,0.0,68.84422110552764,0.0,0.08562852862914055,,,,,True
2,0.07313593113679945,0.07313593113679945,0.0,81.32972555083109,0.0,0.3572003634871293,,,,,True
3,0.04588615888568722,0.04588615888568722,0.0,87.4758407421724,0.0,0.35597690684914074,,,,,True
4,0.02476115464405329,0.02476115464405329,0.0,92.07576343254735,0.0,0.35378342213039765,,,,,True
5,0.018352403351462182,0.018352403351462182,0.0,94.5883262466177,0.0,0.32277814310058867,,,,,True
6,0.015166287321919276,0.015166287321919276,0.0,96.83030537301894,0.0,0.37172952184428554,,,,,True
7,0.01185239393071467,0.01185239393071467,0.0,96.6756861229223,0.0,0.2991334867323516,,,,,True
8,0.007727719001891667,0.007727719001891667,0.0,98.02860456126788,0.0,0.2854386275725633,,,,,True
9,4.442595532078009,0.13260175313514014,0.022323241600623496,78.02884615384616,78.54014598540147,0.45172030878331454,0.23551358718138474,0.1004624292254448,0.9935263991355896,0.7166140157442826,False
10,2.181637184895002,0.08877872039492314,0.01649474547459529,84.90384615384616,60.0,0.49224431119859985,0.15478073014662816,0.10083514451980591,0.9870678782463074,0.943221954198984,False
11,0.3051586805627896,0.051525058439717844,0.012535968193641075,90.48076923076923,65.93673965936739,0.35199456759221065,0.12732266371066753,0.10108836740255356,0.9806457161903381,0.8539115814062265,False
12,-0.7509181275963783,0.030396556281126464,0.010533668444706844,93.50961538461539,67.5912408759124,0.4766724351685892,0.11517603454681544,0.10125171393156052,0.97426438331604,0.7412699396793659,False
13,-1.4370402883451718,0.0168675886762615,0.006641951891092153,96.00961538461539,76.44768856447689,0.4046081597282418,0.09006844472426634,0.10131674259901047,0.9679121375083923,0.570250928401947,False
14,-1.3472499628479664,0.018980643375275226,0.005735095647665171,96.875,77.17761557177616,0.5271199110677839,0.0828602049786311,0.10140091925859451,0.9616147875785828,0.46581135804836565,False
15,-1.9858051570562216,0.006012328000472805,0.005772921672234169,98.60576923076923,78.68613138686132,0.504608515978591,0.08161562841672164,0.1013953760266304,0.9553676247596741,0.4446846411778377,False
16,-2.019301231090839,0.005619228117631372,0.00446317012493427,98.65384615384616,79.7080291970803,0.5027057833455839,0.0708984955572165,0.1013670563697815,0.949165940284729,0.35661219656467436,False
17,-2.0177733331918715,0.005917403002184493,0.003445851802825928,98.79807692307692,79.61070559610705,0.5410498957048793,0.06109772060926144,0.10134129226207733,0.9430088400840759,0.3118848658525027,False
18,-2.2314215458356417,0.0017284828971731677,0.00304027795791626,99.27884615384616,80.0,0.5232332158800624,0.05656036425095338,0.1012757420539856,0.9369011521339417,0.29060238347603723,False
19,-2.234079456329346,0.0018220760942872752,0.0031020384568434495,99.47115384615384,78.68613138686132,0.48578203274844906,0.05705265374137805,0.10119587182998657,0.9308437705039978,0.26915198954252095,False
20,-2.29371209694789,0.0008170253250192708,0.0028409343499403734,99.85576923076923,77.32360097323601,0.51397274564778,0.05155171539921027,0.10110420733690262,0.9248367547988892,0.2459071601812656,False
